Name,Address,Latitude,Longitude,Rating,Total Ratings,Place ID,Types,geometry,neighbourhood,neighbourhood_group,Popularity,Normalized Popularity
Bayview Terrace Park,"22 Bayview Terrace, Staten Island, NY 10312, United States",40.5268953,-74.16353950000001,4.4,9.0,ChIJC-iUalxKwokRMUwmrYJIiqQ,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.16353950000001 40.5268953),Huguenot,Staten Island,4.097120799261697,0.29710171720883716
North Shore Esplanade Park,"300 Richmond Ter, Staten Island, NY 10301, United States",40.6480797,-74.0835263,4.2,110.0,ChIJ59RxdClOwokRw_h6WlahUaY,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.0835263 40.6480797),St. George,Staten Island,4.114581773396999,0.31157885332832297
The Island of Statenhattan,"Bay St, Staten Island, NY 10301, United States",40.6417913,-74.0754512,4.0,1.0,ChIJsTmbDIVPwokRp07fUMjJi9A,"point_of_interest, establishment",POINT (-74.0754512 40.6417913),St. George,Staten Island,4.089749954337659,0.2909904473304183
Wolfe's Pond Park,"420 Cornelia Ave, Staten Island, NY 10312, United States",40.519141,-74.1902206,4.6,1667.0,ChIJYzhZXpZKwokRcbnf5esW1W0,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.1902206 40.519141),Prince's Bay,Staten Island,4.5049166581314415,0.635210926470191
Sandy Ground Historical Inc,"1538 Woodrow Rd, Staten Island, NY 10309, United States",40.5410201,-74.2165141,4.4,16.0,ChIJNX5-mNJKwokRNtsy2awLIbc,"museum, tourist_attraction, point_of_interest, establishment",POINT (-74.2165141 40.5410201),Woodrow,Staten Island,4.10244782038021,0.30151842438946136
Seaside Wildlife Nature Park,"Nelson Avenue &, Tennyson Dr, Staten Island, NY 10308, United States",40.5401773,-74.14303269999999,4.5,458.0,ChIJeR-LVMtLwokRHfwsmxvq6XQ,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.14303269999999 40.5401773),Great Kills,Staten Island,4.31354075298967,0.47653850606234155
Clay Pit Ponds State Park,"83 Nielsen Ave, Staten Island, NY 10309, United States",40.5393979,-74.2321534,4.4,251.0,ChIJmy4STSW1w4kRAmoyt-8xewo,"tourist_attraction, park, point_of_interest, establishment",POINT (-74.2321534 40.5393979),Charleston,Staten Island,4.212913479480765,0.393107036281062
Carousel For All Children,"2 Eton Pl, Staten Island, NY 10314, United States",40.6035816,-74.158373,4.6,168.0,ChIJB6Hxql1MwokRTL-hIh-IeX0,"tourist_attraction, point_of_interest, establishment",POINT (-74.158373 40.6035816),Bull's Head,Staten Island,4.24577133183877,0.4203499379367653
Olmsted-Beil House Park,"55 Orchard Ln #6133, Staten Island, NY 10312, United States",40.5319731,-74.1579797,4.2,25.0,ChIJ0QPwXkVKwokRccEuwUoVC4E,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.1579797 40.5319731),Huguenot,Staten Island,4.096742586022908,0.29678813536067056
Fun Station USA,"3555 Victory Blvd, Staten Island, NY 10314, United States",40.6016082,-74.1767654,3.9,596.0,ChIJOQOQhItMwokR-BM5OO9qVhc,"point_of_interest, establishment",POINT (-74.1767654 40.6016082),Bull's Head,Staten Island,3.9742067817089195,0.1951919984660087
Bulls Head,"Bulls Head, Staten Island, NY 10314, USA",40.6072329,-74.162443,,,ChIJ1VPbpkRMwokR7pkf2A1I_BA,"neighborhood, political",POINT (-74.162443 40.6072329),Bull's Head,Staten Island,,
Empty Sky Memorial,"1 Audrey Zapp Dr, Jersey City, NJ 07305, United States",40.7082213,-74.0349253,4.8,2706.0,ChIJnxee-ahQwokRES1vof5OvGc,"tourist_attraction, point_of_interest, establishment",POINT (-74.0349253 40.7082213),,,4.712167821409107,0.8070457438430904
The Proprietary House,"149 Kearny Ave, Perth Amboy, NJ 08861, United States",40.50348049999999,-74.26910769999999,4.6,99.0,ChIJ0SiA22PKw4kR10ztSeuqsOE,"tourist_attraction, point_of_interest, establishment",POINT (-74.26910769999999 40.50348049999999),,,4.194956824347866,0.37821892416341896
Randiwa,"1405 Richmond Ave, Staten Island, NY 10314, United States",40.613915,-74.157451,4.6,291.0,ChIJA2O8tE9MwokRW9hapLauBKA,"restaurant, point_of_interest, food, establishment",POINT (-74.157451 40.613915),Bull's Head,Staten Island,4.310511489615637,0.47402690173443696
Super Kids Summer Camp,"1409 Richmond Ave, Staten Island, NY 10314, United States",40.6138808,-74.157579,4.9,15.0,ChIJm35R7EdMwokR_2CYSpTWN-o,"point_of_interest, establishment",POINT (-74.157579 40.6138808),Bull's Head,Staten Island,4.120590006325752,0.31656036268015686
LE ROI LOUNGE AND BAR,"10 Akron St, Staten Island, NY 10314, United States",40.6121301,-74.1589933,3.9,123.0,ChIJ2XPn-09MwokR0mS5cJk7KME,"parking, night_club, bar, point_of_interest, establishment",POINT (-74.1589933 40.6121301),Bull's Head,Staten Island,4.0437113515075715,0.25281920242979167
Esplanade Staten Island,"1415 Richmond Ave, Staten Island, NY 10314, United States",40.6134805,-74.1576494,4.5,46.0,ChIJLRNBuE9MwokRMHcnT2szc74,"health, point_of_interest, establishment",POINT (-74.1576494 40.6134805),Bull's Head,Staten Island,4.134051945119915,0.32772184306751156
Buffalo Wild Wings,"1447 Richmond Ave, Staten Island, NY 10314, United States",40.61199329999999,-74.1582186,3.9,1240.0,ChIJf3D08E9MwokRFxRpFJMjZgc,"restaurant, point_of_interest, food, establishment",POINT (-74.1582186 40.61199329999999),Bull's Head,Staten Island,3.9447436698590157,0.17076372330509856
Expressway Plaza,"1445 Richmond Ave, Staten Island, NY 10314, United States",40.6116456,-74.15695699999999,4.2,847.0,ChIJFSjUjU9MwokR_IkNzHBlwKQ,"shopping_mall, point_of_interest, establishment",POINT (-74.15695699999999 40.6116456),Bull's Head,Staten Island,4.165804908471378,0.3540486659053496
Dunkin',"Expressway Plaza, 1445 Richmond Ave, Staten Island, NY 10314, United States",40.6118247,-74.15780769999999,3.2,38.0,ChIJG7nLavFNwokRnR-eJeXvt8E,"meal_takeaway, bakery, cafe, restaurant, point_of_interest, store, food, establishment",POINT (-74.15780769999999 40.6118247),Bull's Head,Staten Island,4.009462458360294,0.22442296953964494
Pho Mac,"1407 Richmond Ave, Staten Island, NY 10314, United States",40.6139412,-74.1575727,4.5,673.0,ChIJE1LdtE9MwokRNHHD9shs56s,"restaurant, point_of_interest, food, establishment",POINT (-74.1575727 40.6139412),Bull's Head,Staten Island,4.351539556882772,0.5080438420232875
Hawaii Poke Bowl,"1430 Richmond Ave, Staten Island, NY 10314, United States",40.6133593,-74.1589891,4.6,498.0,ChIJTySY2U9MwokRaE-LJc34ufY,"restaurant, point_of_interest, food, establishment",POINT (-74.1589891 40.6133593),Bull's Head,Staten Island,4.378607082399231,0.5304859032899145
Strong Attic Insulation & Roofing Services Of New York,"1445 Richmond Ave, Staten Island, NY 10314, United States",40.611735,-74.15741,4.4,14.0,ChIJCUC9TNlZwokRxEhw8jx4zB0,"general_contractor, point_of_interest, establishment",POINT (-74.15741 40.611735),Bull's Head,Staten Island,4.100945031594251,0.30027244133922737
